"Cube Title","Product Id","CANSIM Id",URL,"Cube Notes","Archive Status",Frequency,"Start Reference Period","End Reference Period","Total number of dimensions",Universe,"Variable List"
"Total income groups by age and gender: Canada, provinces and territories, census metropolitan areas and census agglomerations with parts","98100064",,"https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=9810006401",1,"CURRENT - a cube available to the public and that is current","Occasional","2021-01-01","2021-01-01","5","Population aged 15 years and over in private households, 2021 and 2016 censuses — 100% data","Total income groups (24), Age (11), Gender (3a), Year (2)"

"Dimension ID","Dimension name","Dimension Notes","Dimension Correction Notes","Dimension Definitions"
"1","Geography",,,""
"2","Age (11)",2,,""
"3","Gender (3a)",3;4,,""
"4","Total income groups (24)",7,,""
"5","Year (2)",,,""

"Dimension ID","Member Name","Classification Code","Member ID","Parent Member ID",Terminated,"Member Notes","Member Correction Notes","Member Geo Attribute Keys","Member Definitions"
"1","Canada","[11124]","1","","",,,17;3;4;5;9;10;14;15;12;13;16;18,
"1","Newfoundland and Labrador","[10]","2","1","",,,17;3;4;5;9;10;14;15;12;13;16;18,
"1","Corner Brook (CA), N.L.","[015]","3","2","",,,17;3;4;5;9;10;14;15;12;13;16;18,
"1","Gander (CA), N.L.","[011]","4","2","",,,17;3;4;5;9;10;14;15;12;13;16;18,
"1","Grand Falls-Windsor (CA), N.L.","[010]","5","2","",,,17;3;4;5;9;10;14;15;12;13;16;18,
"1","St. John's (CMA), N.L.","[001]","6","2","",,,17;3;4;5;9;10;14;15;12;13;16;18,
"1","Prince Edward Island","[11]","7","1","",,,17;3;4;5;9;10;14;15;12;13;16;18,
"1","Charlottetown (CA), P.E.I.","[105]","8","7","",,,17;3;4;5;9;10;14;15;12;13;16;18,
"1","Summerside (CA), P.E.I.","[110]","9","7","",,,17;3;4;5;9;10;14;15;12;13;16;18,
"1","Nova Scotia","[12]","10","1","",,,17;3;4;5;9;10;14;15;12;13;16;18,
"1","Cape Breton (CA), N.S.","[225]","11","10","",,,17;3;4;5;9;10;14;15;12;13;16;18,
"1","Halifax (CMA), N.S.","[205]","12","10","",,,17;3;4;5;9;10;14;15;12;13;16;18,
"1","Kentville (CA), N.S.","[210]","13","10","",,,17;3;4;5;9;10;14;15;12;13;16;18,
"1","New Glasgow (CA), N.S.","[220]","14","10","",,,17;3;4;5;9;10;14;15;12;13;16;18,
"1","Truro (CA), N.S.","[215]","15","10","",,,17;3;4;5;9;10;14;15;12;13;16;18,
